text,intent
 Can you tell me about academic calender,Course
 Tell me about programmes,Course
 What is the admission appointment ,Admission
admission appointment ,Admission
admission appointment ,Admission
admission documents ,Admission
admission fee ,Admission
are there any offer ,scholarship
are there any offers plans,scholarship
are there any scholarship,scholarship
are there any scholarship plans,scholarship
Available academic calender,Course
Available admission criteria ,Admission
Available admission documents ,Admission
Available admission fee ,Admission
Available bachelors degree,Course
Available masters degree,Course
Available procedure of visa,Visa
Available scholarship,scholarship
Available scholarships,scholarship
Available scholarships,scholarship
Available semseters,Course
Available syllabus,Course
Available visa appointment,Visa
Available visa criteria,Visa
Available visa procedure,Visa
bachelor's degree ,Course
bachelors programmes,Course
bye,bye
bye thank you,bye
bye thanks,bye
can i have the academic calendar,schedule
can i have the address,Details
can i have the contact details,Details
can i have the number,Details
Can I know about scholarship,scholarship
Can I know admission procedure ,Admission
Can I know bachelors degree,Course
Can I know bachelors programmes,Course
Can I know contact details,Details
Can I know course structure,Course
Can I know masters degree,Course
Can I know programmes,Course
Can I know semesters,Course
can I know the academic schedule,schedule
Can I know visa application,Visa
Can I know visa appointment,Visa
Can I know visa criteria,Visa
Can I know visa documents,Visa
Can I know visa duration,Visa
can you give me the academic calendar,schedule
can you give me the academic schedule,schedule
can you give me the address,Details
can you give me the contact,Details
can you give me the contact details,Details
can you give me the number,Details
Can you tell me about admission appointment ,Admission
Can you tell me about admission appointment ,Admission
Can you tell me about admission criteria ,Admission
Can you tell me about admission documents ,Admission
Can you tell me about admission fee ,Admission
Can you tell me about courses,Course
Can you tell me about criteria of visa,Visa
Can you tell me about mail address,Details
Can you tell me about programmes,Course
Can you tell me about scholarship,scholarship
Can you tell me about scholarships,scholarship
Can you tell me about visa criteria,Visa
Can you tell me about visa documents,Visa
Can you tell me how to apply for admission ,Admission
course list,Course
course structure,Course
courses,Course
Details of admission appointment ,Admission
Details of admission criteria ,Admission
Details of admission criteria ,Admission
Details of admission fee ,Admission
Details of admission fee ,Admission
Details of application of visa,Visa
Details of how to apply for admission ,Admission
Details of procedure of visa,Visa
Details of scholarship,scholarship
Details of scholarships,scholarship
Details of visa application,Visa
Different available academic calender,Course
Different available admission appointment ,Admission
Different available admission appointment ,Admission
